Intermediate O
and O
deep O
layers O
of O
the O
macaque O
superior B-BrainRegion
colliculus I-BrainRegion
: O
a O
Golgi O
study O
. O

We O
studied O
the O
intermediate O
and O
deep O
layers O
of O
the O
macaque O
superior B-BrainRegion
colliculus I-BrainRegion
by O
means O
of O
the O
Golgi O
technique O
in O
an O
attempt O
to O
better O
understand O
the O
structural O
features O
of O
this O
important O
oculomotor O
center O
. O

For O
this O
study O
, O
we O
examined O
the O
optic O
( O
stratum B-BrainRegion
opticum I-BrainRegion
, O
SO O
) O
, O
intermediate O
gray O
( O
stratum B-BrainRegion
griseum I-BrainRegion
intermedium I-BrainRegion
, O
SGI O
) O
, O
intermediate O
white O
( O
stratum B-BrainRegion
album I-BrainRegion
intermedium I-BrainRegion
, O
SAI O
) O
, O
and O
deep O
gray O
( O
stratum B-BrainRegion
griseum I-BrainRegion
profundum I-BrainRegion
, O
SGP O
) O
layers O
. O

These O
are O
the O
four O
layers O
in O
which O
neurons O
having O
saccade O
- O
related O
activity O
are O
localized O
. O

We O
identified O
eight O
neuronal O
types O
on O
the O
basis O
of O
differences O
in O
somatic O
and O
dendritic O
morphologies O
: O
large O
multipolar O
neurons O
( O
Type O
I O
) O
; O
large O
pyramidal O
neurons O
( O
Type O
II O
) O
; O
large O
fusiform O
neurons O
( O
Type O
III O
) O
; O
medium O
fusiform O
neurons O
with O
spiny O
, O
radially O
oriented O
dendrites O
( O
Type O
IV O
) O
; O
medium O
round O
neurons O
with O
fan O
- O
shaped O
dendritic O
trees O
( O
Type O
V O
) O
; O
medium O
stellate O
neurons O
with O
varicose O
dendrites O
( O
Type O
VI O
) O
; O
medium O
multipolar O
neurons O
with O
robust O
, O
spiny O
dendrites O
( O
Type O
VII O
) O
; O
and O
local O
interneurons O
( O
Type O
VIII O
) O
. O

Most O
neuronal O
types O
possessed O
features O
that O
are O
homologous O
to O
presynaptic O
dendritic O
features O
in O
other O
brain O
centers O
. O

With O
the O
exception O
of O
the O
medium O
stellate O
neurons O
( O
Type O
VI O
) O
, O
which O
are O
aspinous O
, O
and O
the O
local O
interneurons O
( O
Type O
VIII O
) O
, O
which O
are O
sparsely O
spinous O
, O
all O
other O
types O
had O
a O
moderate O
number O
of O
spines O
on O
their O
dendrites O
. O

Dendrites O
that O
terminated O
in O
the O
optic B-BrainRegion
layer I-BrainRegion
had O
specializations O
not O
observed O
elsewhere O
, O
suggesting O
that O
these O
tips O
may O
sample O
a O
tectal O
afferent O
that O
is O
not O
present O
in O
the O
more O
ventral O
layers O
. O

These O
eight O
types O
comprise O
all O
the O
neuronal O
morphologies O
observed O
in O
a O
large O
number O
of O
Golgi O
- O
impregnated O
macaque O
brains O
( O
n O
= O
50 O
) O
. O

We O
suggest O
that O
they O
represent O
the O
full O
range O
of O
neuron O
types O
in O
the O
saccade O
- O
related O
layers O
of O
the O
macaque O
tectum B-BrainRegion
. O

Connections O
of O
the O
subthalamic B-BrainRegion
nucleus I-BrainRegion
with O
ventral B-BrainRegion
striatopallidal I-BrainRegion
parts I-BrainRegion
of I-BrainRegion
the I-BrainRegion
basal I-BrainRegion
ganglia I-BrainRegion
in O
the O
rat O
. O

The O
present O
study O
was O
undertaken O
to O
establish O
the O
precise O
anatomical O
relationship O
of O
the O
subthalamic B-BrainRegion
nucleus I-BrainRegion
( O
STh O
) O
with O
limbic B-BrainRegion
lobe I-BrainRegion
- I-BrainRegion
afferented I-BrainRegion
parts I-BrainRegion
of I-BrainRegion
the I-BrainRegion
basal I-BrainRegion
ganglia I-BrainRegion
in O
the O
rat O
. O

The O
anterograde O
tracer O
Phaseolus O
vulgaris O
- O
leucoagglutinin O
( O
PHA O
- O
L O
) O
, O
injected O
in O
the O
subthalamic B-BrainRegion
nucleus I-BrainRegion
( O
STh O
) O
, O
the O
globus B-BrainRegion
pallidus I-BrainRegion
, O
the O
ventral B-BrainRegion
pallidum I-BrainRegion
, O
the O
ventral B-BrainRegion
striatum I-BrainRegion
, O
and O
the O
parafascicular B-BrainRegion
thalamic I-BrainRegion
nucleus I-BrainRegion
, O
and O
the O
retrograde O
tracers O
Fluoro O
- O
Gold O
( O
FG O
) O
and O
cholera O
toxin O
B O
( O
