Organisation O
of O
the O
cerebellar B-BrainRegion
nucleus I-BrainRegion
of O
the O
dogfish O
, O
Scyliorhinus O
canicula O
L O
. O

: O
a O
light O
microscopic O
, O
immunocytochemical O
, O
and O
ultrastructural O
study O
. O

Elasmobranchs O
possess O
a O
well O
- O
developed O
cerebellum B-BrainRegion
with O
an O
associated O
cerebellar B-BrainRegion
nucleus I-BrainRegion
. O

To O
determine O
whether O
the O
organization O
of O
this O
nucleus O
is O
comparable O
with O
that O
of O
the O
deep O
cerebellar B-BrainRegion
nuclei I-BrainRegion
of O
mammals O
, O
we O
studied O
the O
dogfish O
cerebellar B-BrainRegion
nucleus I-BrainRegion
with O
light O
microscopic O
methods O
( O
Nissl O
stain O
, O
Golgi O
method O
, O
reduced O
silver O
stain O
, O
NADPH O
- O
diaphorase O
histochemistry O
and O
immunocytochemistry O
) O
and O
with O
electron O
microscopy O
. O

We O
found O
the O
dogfish O
cerebellar B-BrainRegion
nucleus I-BrainRegion
to O
consist O
of O
about O
1 O
, O
050 O
large O
neurons O
, O
the O
ratio O
of O
Purkinje O
cells O
to O
cerebellar B-BrainRegion
nucleus I-BrainRegion
neurons O
being O
about O
17 O
: O
1 O
. O

Immunocytochemistry O
showed O
large O
glutamatergic O
neurons O
in O
the O
main O
portions O
of O
the O
nucleus O
and O
small O
glutamate O
- O
and O
/ O
or O
alpha O
- O
aminobutyric O
acid O
( O
GABA O
) O
- O
immunoreactive O
cells O
in O
the O
subventricular O
region O
of O
the O
nucleus O
. O

Large O
glutamatergic O
neurons O
corresponded O
to O
bipolar O
or O
triangular O
cells O
revealed O
by O
Golgi O
methods O
. O

Application O
of O
horseradish O
peroxidase O
to O
the O
cerebellar B-BrainRegion
cortex I-BrainRegion
produced O
the O
labelling O
of O
beaded O
fibres O
of O
Purkinje O
cells O
in O
the O
cerebellar B-BrainRegion
nucleus I-BrainRegion
. O

Unlike O
in O
mammals O
, O
glutamate O
- O
and O
/ O
or O
alpha O
- O
aminobutyric O
acid O
( O
GABA O
) O
ergic O
innervation O
of O
the O
cerebellar B-BrainRegion
nucleus I-BrainRegion
was O
scare O
: O
Purkinje O
cell O
axon O
terminals O
in O
the O
cerebellar B-BrainRegion
nucleus I-BrainRegion
did O
not O
appear O
to O
be O
glutamate O
- O
and O
/ O
or O
alpha O
- O
aminobutyric O
acid O
( O
GABA O
) O
- O
immunoreactive O
, O
most O
glutamate O
- O
and O
/ O
or O
alpha O
- O
aminobutyric O
acid O
( O
GABA O
) O
ergic O
fibres O
being O
found O
in O
the O
subventricular O
neuropile O
. O

Some O
fibres O
immunoreactive O
to O
serotonin O
and O
somatostatin O
were O
also O
observed O
in O
the O
subventricular O
neuropile O
of O
the O
cerebellar B-BrainRegion
nucleus I-BrainRegion
. O

Three O
neuron O
types O
were O
distinguished O
with O
electron O
microscopy O
( O
types O
A O
to O
C O
) O
. O

Type O
A O
cells O
were O
abundant O
and O
smooth O
- O
surfaced O
, O
and O
appeared O
to O
correspond O
to O
Golgi O
- O
impregnated O
neurons O
and O
large O
glutamate O
- O
immunoreactive O
cells O
. O

Type O
B O
neurons O
were O
scarce O
and O
possessed O
dendrites O
covered O
by O
sessile O
or O
stalked O
spines O
. O

Type O
C O
neurons O
were O
small O
cells O
located O
mainly O
in O
the O
medialmost O
region O
of O
the O
nucleus O
and O
corresponded O
to O
subventricular O
glutamate O
- O
and O
glutamate O
- O
and O
/ O
or O
alpha O
- O
aminobutyric O
acid O
( O
GABA O
) O
- O
immunoreactive O
cells O
. O

Six O
types O
of O
synaptic O
bouton O
were O
observed O
( O
types O
I O
to O
VI O
) O
. O

The O
most O
abundant O
( O
type O
I O
boutons O
) O
made O
symmetrical O
contacts O
and O
appeared O
to O
correspond O
to O
Purkinje O
cell O
axons O
. O

Type O
I O
boutons O
were O
the O
only O
type O
observed O
on O
perikarya O
and O
initial O
axon O
segments O
of O
type O
A O
cells O
. O

Type O
IV O
and O
type O
V O
boutons O
made O
complex O
glomerular O
- O
like O
asymmetrical O
contacts O
with O
spines O
of O
type O
B O
cells O
. O

Type O
VI O
boutons O
appeared O
to O
correspond O
to O
peptidergic O
and O
/ O
or O
monoaminergic O
axons O
. O

The O
functional O
significance O
of O
these O
results O
is O
discussed O
. O

Connections O
of O
the O
small O
bipolar O
cells O
with O
the O
photoreceptors O
in O
the O
turtle O
. O

An O
electron O
microscope O
study O
of O
Golgi O
- O
impregnated O
, O
gold O
- O
toned O
retinas B-BrainRegion
. O

The O
connections O
between O
photoreceptors O
and O
the O
small O
bipolar O
cells O
with O
a O
Landolt O
club O
in O
the O
turtle O
retina B-BrainRegion
( O
Pseudemys O
scripta O
elegans O
) O
were O
analyzed O
with O
the O
electron O
microscope O
after O
Golgi O
impregnation O
and O
gold O
toning O
. O

The O
dendritic O
tree O
of O
several O
bipolars O
was O
partially O
or O
completely O
reconstructed O
from O
continuous O
series O
of O
thin O
sections O
. O

All O
bipolar O
cells O
studied O
established O
both O
basal O
and O
invaginating O
junctions O
with O
cone O
pedicles O
; O
in O
invaginating O
junctions O
, O
their O
dendrites O
invariably O
ended O
as O
the O
central O
process O
of O
triads O
. O

Dendrites O
of O
this O
bipolar O
cell O
type O
make O
invaginating O
synapses O
, O
basal O
junctions O
, O
or O
a O
mixture O
of O
both O
. O

In O
turn O
, O
each O
pedicle O
found O
within O
the O
dendritic O
field O
of O
the O
bipolar O
cell O
contacts O
it O
with O
a O
mixture O
of O
invaginating O
and O
basal O
junctions O
; O
furthermore O
, O
each O
pedicle O
synapses O
with O
more O
than O
one O
dendrite O
from O
the O
same O
